Accuracy,Precision,Recall,F1
0.9832674578338946,0.2743155149934811,0.6402921485088253,0.38408178167214313
0.9948522884503801,0.9340028694404591,0.39622641509433965,0.5564102564102564
0.8725767817380221,0.021144427189105246,0.3231892878880097,0.03969203169382569
0.9952738255233259,0.9624664879356568,0.43700547778454046,0.6010883214734198
0.5339734084495866,0.01700182050262613,0.9890444309190505,0.03342899167875253
0.9957300774140436,0.948394495412844,0.5033475349969568,0.6576540755467197
0.9869869025951806,0.35086652477956826,0.7023737066342057,0.46796431467964317
0.9952787847830076,0.9985569985569985,0.4211807668898357,0.5924657534246576
0.9937910068784932,0.6347346657477602,0.5605599513085818,0.5953458306399483
0.9892185694519522,0.3893288870362651,0.5684723067559343,0.46214745175655614
0.995323418120143,0.94529262086514,0.4522215459525259,0.6117743927542199
0.9939893772657618,1.0,0.26232501521606816,0.4156219864995178
